x	y
0.011	0.001
0.902	0.004
1.154	0.010
1.335	0.019
1.481	0.035
1.627	0.054
1.947	0.156
2.224	0.269
2.438	0.365
2.607	0.432
2.822	0.490
2.884	0.510
3.106	0.535
3.381	0.546
3.645	0.566
3.888	0.587
4.102	0.599
4.445	0.606
4.831	0.613
5.255	0.621
5.832	0.624
6.305	0.626
7.425	0.626
8.517	0.626
9.475	0.626
10.736	0.626
12.212	0.626
13.575	0.626
14.833	0.626
16.213	0.626
17.268	0.626
18.611	0.626
19.799	0.626
21.168	0.626
22.304	0.626
23.615	0.626
25.106	0.626
26.242	0.626
27.507	0.626
29.237	0.626
29.985	0.626
